# Constructed from biom file
#OTU ID	RS101_S1	RS102_S13	RS103_S25	RS104_S37	RS105_S49	RS106_S61	RS107_S73	RS108_S85	RS109_S2	RS110_S14	RS111_S26	RS112_S38	RS113_S50	RS114_S62	RS115_S74	RS116_S86	RS117_S3	RS118_S15	RS119_S27	RS120_S39	RS121_S51	RS122_S63	RS123_S75	RS124_S87	RS125_S4	RS236_S146	RS237_S102	RS238_S109	RS239_S116	RS240_S123	RS241_S129	RS242_S135	RS243_S141	RS244_S147	RS245_S103	RS246_S110	RS247_S117	RS382_S39	RS383_S51	RS384_S63	RS385_S75	RS386_S87	RS387_S99	RS388_S111	RS389_S28	RS390_S40	RS391_S52	RS392_S64	RS393_S76	RS394_S88	RS395_S100	RS396_S112	RS397_S1	RS398_S2	RS399_S3	RS400_S4	RS401_S5	RS402_S6	RS403_S7	RS404_S8	RS405_S9	RS406_S10	RS407_S11	RS408_S12	RS409_S13	RS410_S14	RS411_S15	RS412_S16
f0e13523941c32d798d606bd5df1d43e	12.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8864.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29925.0	0.0
f9eed79f2bd69b0da2385144b13658a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	332.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8554.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27383.0	0.0
8a0ff360df37f4cabec16858fd504896	58.0	2251.0	0.0	203.0	879.0	0.0	31.0	0.0	364.0	0.0	0.0	0.0	0.0	0.0	55.0	3032.0	43.0	87.0	367.0	192.0	154.0	196.0	84.0	33.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	8248.0	0.0	2189.0	3116.0	1151.0	371.0	319.0	0.0	0.0	0.0	559.0	174.0	283.0	780.0	0.0	450.0	138.0	1961.0	2003.0	0.0	56.0	1975.0	1995.0	388.0	15.0	4.0	346.0	0.0	0.0	0.0	6.0
281e3624d68f8ff9b997a85e9d5d9f56	8.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7855.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26384.0	0.0
646d9b1d194dd9b658b0c6b3c32fc27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	731.0	945.0	683.0	931.0	700.0	760.0	2177.0	2587.0	1483.0	3665.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1405.0	2614.0	983.0	1742.0	2060.0	2217.0	2737.0	3541.0	1567.0	146.0	0.0	0.0	0.0	0.0	0.0	20.0
dac7eeb6974ea02cbc0ad6f0a0b25629	29.0	968.0	18.0	109.0	327.0	14.0	756.0	2476.0	485.0	140.0	315.0	3028.0	24.0	167.0	4336.0	0.0	48.0	91.0	87.0	0.0	509.0	161.0	509.0	5.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	243.0	1417.0	238.0	36.0	992.0	1833.0	3288.0	325.0	269.0	1376.0	613.0	92.0	104.0	183.0	1432.0	27.0	104.0	0.0	615.0	46.0	90.0	105.0	304.0	628.0	40.0	65.0	180.0	3363.0	125.0	0.0	0.0
9183e21d1172eaa8755747cba1217c6f	69.0	147.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	72.0	134.0	150.0	0.0	503.0	330.0	2556.0	785.0	2148.0	443.0	200.0	477.0	581.0	246.0	1093.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.0	0.0	0.0	0.0	177.0	0.0	112.0	889.0	607.0	778.0	816.0	2385.0	3126.0	1690.0	1415.0	3505.0	1102.0	810.0	2638.0	241.0	48.0	0.0	126.0	0.0	0.0	0.0	0.0
32ca4fa1d1056e4f185ab0220d55a757	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5590.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20475.0	0.0
f2a9160db995ad8a60a1edda61b37145	0.0	2486.0	37.0	38.0	0.0	0.0	0.0	5.0	136.0	0.0	0.0	578.0	0.0	0.0	577.0	399.0	175.0	2413.0	1360.0	613.0	1252.0	145.0	461.0	620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	302.0	101.0	98.0	0.0	38.0	0.0	19.0	0.0	0.0	345.0	0.0	33.0	305.0	98.0	863.0	4443.0	3232.0	689.0	1464.0	1472.0	165.0	470.0	256.0	83.0	59.0	10.0	0.0	0.0	0.0
1ae8db0d60577d7ea884caf97a70beca	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	695.0	708.0	6146.0	81.0	6568.0	803.0	595.0	4052.0	38.0	5805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
